,sub,pn,st,et,code,all,speed,content,number,distance,space,suitable
3,0603ot01,com.bigduckgames.flow,62667.19,62799.61,sld01,5,2,5,3,5,6,5
61,0603ot02,com.bigduckgames.flow,67915.1,68048.96,sld01,6,3,5,4,6,6,2
92,0603ot03,com.bigduckgames.flow,72836.82,72964.1,sld01,4,2,5,4,5,5,2
103,0603ot04,com.bigduckgames.flow,77981.37,78110.56,sld01,7,2,7,3,5,5,5
84,0605ot01,com.bigduckgames.flow,95160.27,95292.09,sld01,2,3,2,2,4,6,3
311,0612ot04,com.bigduckgames.flow,42799.18,42925.95,sld01,5,1,5,3,6,4,1
1113,0612ot05,com.bigduckgames.flow,49668.99,49795.7,sld01,5,2,6,3,6,6,3
65,0605ot02,com.cookapps.puddingpop,2957.63,3083.976,sld02,4,3,4,5,6,5,3
36,0609ot01,com.cookapps.puddingpop,20272.63,20400.26,sld02,4,3,5,5,5,5,3
67,0609ot02,com.cookapps.puddingpop,27228.03,27354.66,sld02,4,3,5,5,7,7,3
48,0612ot01,com.cookapps.puddingpop,32224.54,32353.72,sld02,4,2,4,5,5,5,6
99,0612ot02,com.cookapps.puddingpop,36913.65,37039.97,sld02,4,1,6,7,7,7,1
1010,0612ot03,com.cookapps.puddingpop,40348.52,40475.3,sld02,6,3,5,6,7,6,5
55,0605ot02,com.game.JewelsStar,2806.988,2933.082,sld03,5,4,5,7,3,6,2
46,0609ot01,com.game.JewelsStar,20432.61,20559.38,sld03,5,4,5,5,3,5,2
57,0609ot02,com.game.JewelsStar,27006.19,27132.69,sld03,5,4,6,7,3,6,2
118,0612ot01,com.game.JewelsStar,33352.76,33479.61,sld03,4,3,4,5,3,5,3
1110,0612ot02,com.game.JewelsStar,37265.33,37391.34,sld03,4,2,2,7,3,6,3
210,0612ot03,com.game.JewelsStar,38997.98,39125.76,sld03,6,4,6,6,4,6,4
12,0603ot01,com.king.candycrushsaga,64598.06,64760.4,sld04,5,2,4,6,2,6,5
71,0603ot02,com.king.candycrushsaga,68147.66,68289.7,sld04,6,4,6,7,4,6,2
42,0603ot03,com.king.candycrushsaga,71697.81,71827.23,sld04,3,3,3,5,3,4,4
83,0603ot04,com.king.candycrushsaga,77224.44,77353.18,sld04,5,3,6,7,3,6,5
114,0605ot01,com.king.candycrushsaga,95820.76,95947.85,sld04,5,4,4,6,4,6,5
1211,0612ot04,com.king.candycrushsaga,45995.21,46121.56,sld04,3,2,5,6,2,6,3
912,0612ot05,com.king.candycrushsaga,49243,49374.35,sld04,3,2,3,5,2,4,5
5,0603ot01,com.mobirix.blockpuzzle,63140.56,63271.84,sld05,3,2,3,2,4,3,3
21,0603ot02,com.mobirix.blockpuzzle,67117.31,67253.32,sld05,5,2,5,4,5,5,3
32,0603ot03,com.mobirix.blockpuzzle,71488.9,71616.01,sld05,3,2,5,3,5,4,4
93,0603ot04,com.mobirix.blockpuzzle,77392.85,77938.74,sld05,5,1,6,3,5,4,3
